DATE,PNRGINDEXM
2016-04-01,92.2596613967793
2016-05-01,101.393487211693
2016-06-01,106.415026253878
2016-07-01,101.995127715697
2016-08-01,103.766235482992
2016-09-01,105.174637871301
2016-10-01,114.805980551492
2016-11-01,108.004901761136
2016-12-01,123.054128808003
2017-01-01,128.327232199506
2017-02-01,126.00415149998
2017-03-01,116.320865561787
2017-04-01,119.417137059864
2017-05-01,114.93747017465
2017-06-01,108.243985771035
2017-07-01,112.03881838516
2017-08-01,118.287561643056
2017-09-01,126.22738689537
2017-10-01,130.798628546611
2017-11-01,141.562376199917
2017-12-01,144.914490932292
2018-01-01,156.132085768563
2018-02-01,148.238693280138
2018-03-01,147.971585362215
2018-04-01,152.742968836
2018-05-01,163.580032509477
2018-06-01,163.929323914847
2018-07-01,165.273256289903
